,block_soc_mc_1,block_soc_mc_2,block_soc_mc_3,block_soc_mc_4,block_soc_mc_5,block_soc_mc_6,block_soc_mc_7,block_soc_mc_8,block_soc_mc_9,block_soc_mc_10,block_soc_mc_11,block_soc_mc_12,block_soc_mc_13,block_soc_mc_14,block_soc_mc_15,block_soc_mc_16,block_soc_mc_17,block_soc_mc_18,block_soc_mc_19,block_soc_mc_20,block_soc_mc_21,block_soc_mc_22,block_soc_mc_23,block_soc_mc_24,block_soc_mc_25,block_soc_mc_26,block_soc_mc_27,block_soc_mc_28,block_soc_mc_29,block_soc_mc_30,block_soc_mc_31,block_soc_mc_32,block_soc_mc_33,block_soc_mc_34,block_soc_mc_35,block_soc_mc_36
Episode 22,1163.6527821950822,1163.6527821950822,1163.6527821950822,1163.6527821950822,1163.6527821950822,1163.6527821950822,1163.6527821950822,1163.6527821950822,1163.6527821950822,1163.6527821950822,1163.6527821950822,1163.6527821950822,1163.6527821950822,1163.6527821950822,1163.6527821950822,1163.6527821950822,1163.6527821950822,1163.6527821950822,1163.6527821950822,1163.6527821950822,1163.6527821950822,1163.6527821950822,1163.6527821950822,1163.6527821950822,1163.6527821950822,1163.6527821950822,1163.6527821950822,1163.6527821950822,1163.6527821950822,1163.6527821950822,1163.6527821950822,1163.6527821950822,1163.6527821950822,1163.6527821950822,1163.6527821950822,1163.6527821950822
Episode 23,343.4057416328373,343.4057416328373,343.4057416328373,343.4057416328373,343.4057416328373,343.4057416328373,343.4057416328373,343.4057416328373,343.4057416328373,343.4057416328373,343.4057416328373,343.4057416328373,343.4057416328373,343.4057416328373,343.4057416328373,343.4057416328373,343.4057416328373,343.4057416328373,343.4057416328373,343.4057416328373,343.4057416328373,343.4057416328373,343.4057416328373,343.4057416328373,343.4057416328373,343.4057416328373,343.4057416328373,343.4057416328373,343.4057416328373,343.4057416328373,343.4057416328373,343.4057416328373,343.4057416328373,343.4057416328373,343.4057416328373,343.4057416328373
Episode 24,942.2164073636372,942.2164073636372,942.2164073636372,942.2164073636372,942.2164073636372,942.2164073636372,942.2164073636372,942.2164073636372,942.2164073636372,942.2164073636372,942.2164073636372,942.2164073636372,942.2164073636372,942.2164073636372,942.2164073636372,942.2164073636372,942.2164073636372,942.2164073636372,942.2164073636372,942.2164073636372,942.2164073636372,942.2164073636372,942.2164073636372,942.2164073636372,942.2164073636372,942.2164073636372,942.2164073636372,942.2164073636372,942.2164073636372,942.2164073636372,942.2164073636372,942.2164073636372,942.2164073636372,942.2164073636372,942.2164073636372,942.2164073636372
Episode 25,626.5838842636498,626.5838842636498,626.5838842636498,626.5838842636498,626.5838842636498,626.5838842636498,626.5838842636498,626.5838842636498,626.5838842636498,626.5838842636498,626.5838842636498,626.5838842636498,626.5838842636498,626.5838842636498,626.5838842636498,626.5838842636498,626.5838842636498,626.5838842636498,626.5838842636498,626.5838842636498,626.5838842636498,626.5838842636498,626.5838842636498,626.5838842636498,626.5838842636498,626.5838842636498,626.5838842636498,626.5838842636498,626.5838842636498,626.5838842636498,626.5838842636498,626.5838842636498,626.5838842636498,626.5838842636498,626.5838842636498,626.5838842636498
Episode 26,2414.530913714325,2414.530913714325,2414.530913714325,2414.530913714325,2414.530913714325,2414.530913714325,2414.530913714325,2414.530913714325,2414.530913714325,2414.530913714325,2414.530913714325,2414.530913714325,2414.530913714325,2414.530913714325,2414.530913714325,2414.530913714325,2414.530913714325,2414.530913714325,2414.530913714325,2414.530913714325,2414.530913714325,2414.530913714325,2414.530913714325,2414.530913714325,2414.530913714325,2414.530913714325,2414.530913714325,2414.530913714325,2414.530913714325,2414.530913714325,2414.530913714325,2414.530913714325,2414.530913714325,2414.530913714325,2414.530913714325,2414.530913714325
Episode 27,425.44938068266606,425.44938068266606,425.44938068266606,425.44938068266606,425.44938068266606,425.44938068266606,425.44938068266606,425.44938068266606,425.44938068266606,425.44938068266606,425.44938068266606,425.44938068266606,425.44938068266606,425.44938068266606,425.44938068266606,425.44938068266606,425.44938068266606,425.44938068266606,425.44938068266606,425.44938068266606,425.44938068266606,425.44938068266606,425.44938068266606,425.44938068266606,425.44938068266606,425.44938068266606,425.44938068266606,425.44938068266606,425.44938068266606,425.44938068266606,425.44938068266606,425.44938068266606,425.44938068266606,425.44938068266606,425.44938068266606,425.44938068266606
Episode 28,5661.9210343328505,5661.9210343328505,5661.9210343328505,5661.9210343328505,5661.9210343328505,5661.9210343328505,5661.9210343328505,5661.9210343328505,5661.9210343328505,5661.9210343328505,5661.9210343328505,5661.9210343328505,5661.9210343328505,5661.9210343328505,5661.9210343328505,5661.9210343328505,5661.9210343328505,5661.9210343328505,5661.9210343328505,5661.9210343328505,5661.9210343328505,5661.9210343328505,5661.9210343328505,5661.9210343328505,5661.9210343328505,5661.9210343328505,5661.9210343328505,5661.9210343328505,5661.9210343328505,5661.9210343328505,5661.9210343328505,5661.9210343328505,5661.9210343328505,5661.9210343328505,5661.9210343328505,5661.9210343328505
Episode 29,1076.8988034408724,1076.8988034408724,1076.8988034408724,1076.8988034408724,1076.8988034408724,1076.8988034408724,1076.8988034408724,1076.8988034408724,1076.8988034408724,1076.8988034408724,1076.8988034408724,1076.8988034408724,1076.8988034408724,1076.8988034408724,1076.8988034408724,1076.8988034408724,1076.8988034408724,1076.8988034408724,1076.8988034408724,1076.8988034408724,1076.8988034408724,1076.8988034408724,1076.8988034408724,1076.8988034408724,1076.8988034408724,1076.8988034408724,1076.8988034408724,1076.8988034408724,1076.8988034408724,1076.8988034408724,1076.8988034408724,1076.8988034408724,1076.8988034408724,1076.8988034408724,1076.8988034408724,1076.8988034408724
Episode 30,2574.1293136678937,2574.1293136678937,2574.1293136678937,2574.1293136678937,2574.1293136678937,2574.1293136678937,2574.1293136678937,2574.1293136678937,2574.1293136678937,2574.1293136678937,2574.1293136678937,2574.1293136678937,2574.1293136678937,2574.1293136678937,2574.1293136678937,2574.1293136678937,2574.1293136678937,2574.1293136678937,2574.1293136678937,2574.1293136678937,2574.1293136678937,2574.1293136678937,2574.1293136678937,2574.1293136678937,2574.1293136678937,2574.1293136678937,2574.1293136678937,2574.1293136678937,2574.1293136678937,2574.1293136678937,2574.1293136678937,2574.1293136678937,2574.1293136678937,2574.1293136678937,2574.1293136678937,2574.1293136678937
Episode 31,1243.779466765483,1243.779466765483,1243.779466765483,1243.779466765483,1243.779466765483,1243.779466765483,1243.779466765483,1243.779466765483,1243.779466765483,1243.779466765483,1243.779466765483,1243.779466765483,1243.779466765483,1243.779466765483,1243.779466765483,1243.779466765483,1243.779466765483,1243.779466765483,1243.779466765483,1243.779466765483,1243.779466765483,1243.779466765483,1243.779466765483,1243.779466765483,1243.779466765483,1243.779466765483,1243.779466765483,1243.779466765483,1243.779466765483,1243.779466765483,1243.779466765483,1243.779466765483,1243.779466765483,1243.779466765483,1243.779466765483,1243.779466765483
Episode 32,608.9533126214136,608.9533126214136,608.9533126214136,608.9533126214136,608.9533126214136,608.9533126214136,608.9533126214136,608.9533126214136,608.9533126214136,608.9533126214136,608.9533126214136,608.9533126214136,608.9533126214136,608.9533126214136,608.9533126214136,608.9533126214136,608.9533126214136,608.9533126214136,608.9533126214136,608.9533126214136,608.9533126214136,608.9533126214136,608.9533126214136,608.9533126214136,608.9533126214136,608.9533126214136,608.9533126214136,608.9533126214136,608.9533126214136,608.9533126214136,608.9533126214136,608.9533126214136,608.9533126214136,608.9533126214136,608.9533126214136,608.9533126214136
Episode 33,824.6062673216566,824.6062673216566,824.6062673216566,824.6062673216566,824.6062673216566,824.6062673216566,824.6062673216566,824.6062673216566,824.6062673216566,824.6062673216566,824.6062673216566,824.6062673216566,824.6062673216566,824.6062673216566,824.6062673216566,824.6062673216566,824.6062673216566,824.6062673216566,824.6062673216566,824.6062673216566,824.6062673216566,824.6062673216566,824.6062673216566,824.6062673216566,824.6062673216566,824.6062673216566,824.6062673216566,824.6062673216566,824.6062673216566,824.6062673216566,824.6062673216566,824.6062673216566,824.6062673216566,824.6062673216566,824.6062673216566,824.6062673216566
Episode 34,7431.127494591941,7431.127494591941,7431.127494591941,7431.127494591941,7431.127494591941,7431.127494591941,7431.127494591941,7431.127494591941,7431.127494591941,7431.127494591941,7431.127494591941,7431.127494591941,7431.127494591941,7431.127494591941,7431.127494591941,7431.127494591941,7431.127494591941,7431.127494591941,7431.127494591941,7431.127494591941,7431.127494591941,7431.127494591941,7431.127494591941,7431.127494591941,7431.127494591941,7431.127494591941,7431.127494591941,7431.127494591941,7431.127494591941,7431.127494591941,7431.127494591941,7431.127494591941,7431.127494591941,7431.127494591941,7431.127494591941,7431.127494591941
Episode 35,1166.3393591563442,1166.3393591563442,1166.3393591563442,1166.3393591563442,1166.3393591563442,1166.3393591563442,1166.3393591563442,1166.3393591563442,1166.3393591563442,1166.3393591563442,1166.3393591563442,1166.3393591563442,1166.3393591563442,1166.3393591563442,1166.3393591563442,1166.3393591563442,1166.3393591563442,1166.3393591563442,1166.3393591563442,1166.3393591563442,1166.3393591563442,1166.3393591563442,1166.3393591563442,1166.3393591563442,1166.3393591563442,1166.3393591563442,1166.3393591563442,1166.3393591563442,1166.3393591563442,1166.3393591563442,1166.3393591563442,1166.3393591563442,1166.3393591563442,1166.3393591563442,1166.3393591563442,1166.3393591563442
Episode 36,4022.68288026382,4022.68288026382,4022.68288026382,4022.68288026382,4022.68288026382,4022.68288026382,4022.68288026382,4022.68288026382,4022.68288026382,4022.68288026382,4022.68288026382,4022.68288026382,4022.68288026382,4022.68288026382,4022.68288026382,4022.68288026382,4022.68288026382,4022.68288026382,4022.68288026382,4022.68288026382,4022.68288026382,4022.68288026382,4022.68288026382,4022.68288026382,4022.68288026382,4022.68288026382,4022.68288026382,4022.68288026382,4022.68288026382,4022.68288026382,4022.68288026382,4022.68288026382,4022.68288026382,4022.68288026382,4022.68288026382,4022.68288026382
Episode 37,1110.627759600207,1110.627759600207,1110.627759600207,1110.627759600207,1110.627759600207,1110.627759600207,1110.627759600207,1110.627759600207,1110.627759600207,1110.627759600207,1110.627759600207,1110.627759600207,1110.627759600207,1110.627759600207,1110.627759600207,1110.627759600207,1110.627759600207,1110.627759600207,1110.627759600207,1110.627759600207,1110.627759600207,1110.627759600207,1110.627759600207,1110.627759600207,1110.627759600207,1110.627759600207,1110.627759600207,1110.627759600207,1110.627759600207,1110.627759600207,1110.627759600207,1110.627759600207,1110.627759600207,1110.627759600207,1110.627759600207,1110.627759600207
Episode 38,2663.353035462183,2663.353035462183,2663.353035462183,2663.353035462183,2663.353035462183,2663.353035462183,2663.353035462183,2663.353035462183,2663.353035462183,2663.353035462183,2663.353035462183,2663.353035462183,2663.353035462183,2663.353035462183,2663.353035462183,2663.353035462183,2663.353035462183,2663.353035462183,2663.353035462183,2663.353035462183,2663.353035462183,2663.353035462183,2663.353035462183,2663.353035462183,2663.353035462183,2663.353035462183,2663.353035462183,2663.353035462183,2663.353035462183,2663.353035462183,2663.353035462183,2663.353035462183,2663.353035462183,2663.353035462183,2663.353035462183,2663.353035462183
Episode 39,548.1772065095163,548.1772065095163,548.1772065095163,548.1772065095163,548.1772065095163,548.1772065095163,548.1772065095163,548.1772065095163,548.1772065095163,548.1772065095163,548.1772065095163,548.1772065095163,548.1772065095163,548.1772065095163,548.1772065095163,548.1772065095163,548.1772065095163,548.1772065095163,548.1772065095163,548.1772065095163,548.1772065095163,548.1772065095163,548.1772065095163,548.1772065095163,548.1772065095163,548.1772065095163,548.1772065095163,548.1772065095163,548.1772065095163,548.1772065095163,548.1772065095163,548.1772065095163,548.1772065095163,548.1772065095163,548.1772065095163,548.1772065095163
Episode 40,771.2373924009069,771.2373924009069,771.2373924009069,771.2373924009069,771.2373924009069,771.2373924009069,771.2373924009069,771.2373924009069,771.2373924009069,771.2373924009069,771.2373924009069,771.2373924009069,771.2373924009069,771.2373924009069,771.2373924009069,771.2373924009069,771.2373924009069,771.2373924009069,771.2373924009069,771.2373924009069,771.2373924009069,771.2373924009069,771.2373924009069,771.2373924009069,771.2373924009069,771.2373924009069,771.2373924009069,771.2373924009069,771.2373924009069,771.2373924009069,771.2373924009069,771.2373924009069,771.2373924009069,771.2373924009069,771.2373924009069,771.2373924009069
Episode 41,2895.0083639093427,2895.0083639093427,2895.0083639093427,2895.0083639093427,2895.0083639093427,2895.0083639093427,2895.0083639093427,2895.0083639093427,2895.0083639093427,2895.0083639093427,2895.0083639093427,2895.0083639093427,2895.0083639093427,2895.0083639093427,2895.0083639093427,2895.0083639093427,2895.0083639093427,2895.0083639093427,2895.0083639093427,2895.0083639093427,2895.0083639093427,2895.0083639093427,2895.0083639093427,2895.0083639093427,2895.0083639093427,2895.0083639093427,2895.0083639093427,2895.0083639093427,2895.0083639093427,2895.0083639093427,2895.0083639093427,2895.0083639093427,2895.0083639093427,2895.0083639093427,2895.0083639093427,2895.0083639093427
Episode 42,1101.177307523656,1101.177307523656,1101.177307523656,1101.177307523656,1101.177307523656,1101.177307523656,1101.177307523656,1101.177307523656,1101.177307523656,1101.177307523656,1101.177307523656,1101.177307523656,1101.177307523656,1101.177307523656,1101.177307523656,1101.177307523656,1101.177307523656,1101.177307523656,1101.177307523656,1101.177307523656,1101.177307523656,1101.177307523656,1101.177307523656,1101.177307523656,1101.177307523656,1101.177307523656,1101.177307523656,1101.177307523656,1101.177307523656,1101.177307523656,1101.177307523656,1101.177307523656,1101.177307523656,1101.177307523656,1101.177307523656,1101.177307523656
Episode 43,4987.269969236305,4987.269969236305,4987.269969236305,4987.269969236305,4987.269969236305,4987.269969236305,4987.269969236305,4987.269969236305,4987.269969236305,4987.269969236305,4987.269969236305,4987.269969236305,4987.269969236305,4987.269969236305,4987.269969236305,4987.269969236305,4987.269969236305,4987.269969236305,4987.269969236305,4987.269969236305,4987.269969236305,4987.269969236305,4987.269969236305,4987.269969236305,4987.269969236305,4987.269969236305,4987.269969236305,4987.269969236305,4987.269969236305,4987.269969236305,4987.269969236305,4987.269969236305,4987.269969236305,4987.269969236305,4987.269969236305,4987.269969236305
