,time_step 1,time_step 2,time_step 3,time_step 4,time_step 5,time_step 6,time_step 7,time_step 8,time_step 9,time_step 10,time_step 11,time_step 12,time_step 13,time_step 14,time_step 15,time_step 16,time_step 17,time_step 18,time_step 19,time_step 20,time_step 21,time_step 22,time_step 23,time_step 24,time_step 25,time_step 26,time_step 27,time_step 28,time_step 29,time_step 30,time_step 31,time_step 32,time_step 33,time_step 34,time_step 35,time_step 36
Episode 202,3486.594969,3612.52589,3636.158064,3622.553782,3623.473207,3626.122946,3611.50608,3578.12322,3561.133918,3541.303985,3515.339023,3485.24479,3452.870385,3422.911542,3394.265946,3376.289491,3337.31522,3295.101287,3252.063109,3264.603359,3261.83619,3260.719642,3258.196722,3269.382223,3297.409779,3307.119392,3332.55787,3335.341914,3352.687045,3355.593835,3356.989169,3354.870666,3377.679655,3407.078211,3460.473434,3461.102906
Episode 203,3470.509179,3477.329039,3465.211324,3453.161578,3440.835569,3425.516575,3403.898994,3384.814927,3365.209762,3344.555829,3323.186785,3301.412716,3280.015854,3258.820936,3239.385757,3216.455285,3192.974383,3169.345979,3166.423379,3160.950139,3155.751603,3150.317775,3147.174223,3146.848199,3143.462093,3142.708848,3138.166182,3136.06159,3131.539992,3126.765008,3137.580452,3152.572365,3168.669125,3188.790665,3200.063478,3214.181568
Episode 204,0,5.285198,7.650089,4.686615,4.454163,3.539377,0,3.118838,4.562871,5.614057,10.389744,8.010198,6.492355,10.420473,10.666191,8.712027,2.920695,5.029158,13.839666,10.046448,9.650629,4.386432,0,4.11245,0,0,0,0,0,0,0,8.481089,1.431391,2.205218,5.793228,0.66148
Episode 205,3454.423389,3448.370827,3435.608652,3421.941325,3406.625256,3386.232032,3366.948678,3347.371923,3327.257922,3306.772766,3286.071682,3265.541041,3245.099718,3225.51556,3204.209476,3182.625772,3160.963499,3156.473142,3150.724908,3145.111919,3139.382339,3134.78554,3131.584349,3126.86973,3123.46009,3118.173641,3114.095993,3108.820229,3103.418652,3115.544884,3129.743273,3144.490253,3161.236407,3173.587901,3187.352314,3203.511444
Episode 206,3438.337599,3350.650901,3308.28742,3281.986888,3263.557485,3238.821377,3216.588449,3198.384053,3182.994077,3169.286236,3154.513676,3139.200874,3117.916314,3108.799854,3101.699487,3095.203355,3078.197344,3070.089817,3061.027738,3052.795145,3036.523091,3010.330067,2994.877697,2970.142063,2958.746913,2938.749806,2927.277074,2916.701225,2939.164549,2946.870783,2950.666943,2940.208217,2961.080456,2971.880883,2965.598719,2973.187567
Episode 207,3422.251809,3420.932547,3408.955137,3389.936192,3371.61288,3352.635404,3332.7788,3312.305387,3291.454193,3270.777762,3250.185251,3230.757635,3208.912618,3186.654094,3164.263929,3160.429407,3154.825189,3149.410211,3143.829143,3139.852677,3137.859984,3133.723484,3131.444684,3126.498519,3123.274345,3118.343975,3113.233682,3124.833791,3139.39061,3154.731517,3172.932305,3184.848289,3198.784301,3216.149083,3230.729949,3243.307413
Episode 208,3406.16602,3387.180124,3366.817495,3346.589133,3326.56132,3306.741231,3287.064778,3267.477697,3247.865511,3228.242694,3208.390071,3189.02602,3169.748756,3150.500918,3144.020616,3137.898313,3131.737892,3125.611347,3119.158902,3112.302707,3105.881978,3099.082835,3092.826557,3086.219368,3079.959831,3073.737053,3087.507732,3100.675311,3113.682801,3126.106097,3139.813012,3153.107424,3165.701084,3178.863665,3192.435918,3205.144009
Episode 209,3390.08023,3414.047282,3407.778137,3394.943777,3377.598347,3357.32575,3335.241545,3313.327855,3291.444648,3273.221098,3246.953687,3219.191688,3190.888193,3192.307085,3187.828265,3183.973695,3179.555415,3180.530104,3188.201862,3188.665873,3195.412682,3193.154595,3196.725287,3194.521746,3191.705743,3199.068116,3216.459077,3236.514553,3266.2994,3274.709782,3289.987583,3316.942214,3334.417523,3345.062012,3370.11415,3393.906994
Episode 210,3370.308111,3440.041728,3446.916568,3437.923122,3420.485041,3398.104969,3375.305663,3352.135838,3336.125616,3303.605426,3267.845945,3230.829527,3240.255596,3237.577596,3236.170274,3233.591584,3242.136762,3264.533432,3272.057059,3292.589175,3294.494519,3308.474339,3310.492668,3311.237546,3312.203262,3333.968779,3361.266355,3408.777641,3411.888179,3429.260868,3470.907461,3492.849628,3500.582117,3538.282992,3573.368931,3615.274913
Episode 211,3350.535997,3412.977303,3414.97843,3402.729314,3383.558963,3362.785629,3341.041039,3325.471391,3294.569903,3260.452859,3224.997146,3233.482747,3230.74517,3229.172222,3226.496143,3234.192864,3254.846823,3261.623266,3280.58297,3282.114679,3294.961261,3296.597792,3297.035596,3298.863785,3320.210291,3346.753738,3392.301039,3396.11136,3413.324479,3453.373133,3474.885985,3483.021108,3519.366735,3553.255168,3593.571854,3610.599844
Episode 212,3330.763879,3398.98153,3400.429617,3387.064395,3369.25021,3349.162045,3335.123501,3304.050484,3269.09701,3232.409918,3242.681856,3240.541526,3239.667931,3237.550018,3246.977296,3270.88015,3279.322253,3301.393854,3303.988053,3319.248411,3321.957177,3323.316666,3323.86052,3346.288442,3374.550042,3424.162776,3426.890083,3444.668633,3488.121087,3510.734687,3518.295267,3557.594643,3594.134603,3637.916654,3655.142286,3703.836082
