,time_step 1,time_step 2,time_step 3,time_step 4,time_step 5,time_step 6,time_step 7,time_step 8,time_step 9,time_step 10,time_step 11,time_step 12,time_step 13,time_step 14,time_step 15,time_step 16,time_step 17,time_step 18,time_step 19,time_step 20,time_step 21,time_step 22,time_step 23,time_step 24,time_step 25,time_step 26,time_step 27,time_step 28,time_step 29,time_step 30,time_step 31,time_step 32,time_step 33,time_step 34,time_step 35,time_step 36
Episode 123,36.62955456,19.51513681,36.62955456,36.62955456,36.62955456,35.34777312,35.00584978,36.62955456,36.62955456,36.62955456,36.62955456,36.62955456,36.62955456,36.62955456,36.62955456,36.62955456,36.62955456,36.62955456,36.62955456,36.62955456,36.62955456,36.62955456,36.62955456,36.62955456,36.62955456,36.62955456,36.62955456,36.62955456,36.62955456,36.62955456,36.62955456,36.62955456,36.62955456,36.62955456,36.62955456,36.62955456
Episode 124,58.04928372,62.83170287,40.561,41.37890529,41.37890529,37.81209471,36.96801713,36.96801713,36.92244848,36.698,36.698,36.698,36.698,36.698,36.698,36.698,36.698,36.79799581,36.79799581,36.71347234,36.698,36.698,36.698,36.698,37.40602831,35.969,36.698,36.698,35.969,35.969,35.969,35.969,34.1844824,34.1844824,34.1844824,65.43144665
Episode 125,57.50435896,59.74978832,44.424,40.561,38.63,38.63,38.63,38.10994693,36.96801713,36.96801713,36.698,36.698,36.698,36.698,36.698,36.698,36.698,36.698,36.698,36.698,36.698,38.63,38.63,39.394,35.934,36.698,36.698,34.256,34.256,34.256,34.256,34.256,34.256,34.256,58.75337973,58.75337973
Episode 126,79.04687261,74.29288296,44.76044287,41.81737455,41.81737455,41.81737455,41.81737455,41.81737455,41.81737455,41.81737455,42.52601467,41.81737455,41.81737455,41.81737455,41.81737455,41.81737455,41.81737455,41.81737455,41.81737455,41.81737455,41.81737455,41.81737455,41.81737455,42.61858466,41.81737455,41.81737455,42.275544,42.275544,42.275544,42.275544,41.81737455,41.81737455,41.81737455,42.275544,42.275544,42.275544
Episode 127,63.9661862,63.5256565,35.87540031,38.07369233,40.83407465,40.561,38.63,38.63,38.63,38.63,40.2545263,40.2545263,40.2545263,38.63,38.63,38.63,40.561,40.561,40.561,40.08293403,38.63,40.12595664,35.969,38.63,39.45259969,35.87540031,35.87540031,35.87540031,35.87540031,35.87540031,35.969,35.87540031,36.30852602,36.30852602,36.30852602,36.30852602
Episode 128,62.20147317,43.222,35.969,38.87734009,38.63,36.698,36.698,36.698,36.698,38.42787599,38.42787599,38.56888979,36.698,36.698,36.698,38.63,38.34849753,38.34849753,37.34330993,36.698,36.698,33.36331543,35.969,35.969,33.36331543,33.36331543,33.36331543,33.36331543,33.36331543,34.256,34.256,35.98364277,35.98364277,35.98364277,35.98364277,56.06035005
Episode 129,41.07645545,41.50505821,37.68594179,37.39292706,36.698,36.698,36.698,36.698,36.698,36.698,36.70479382,36.698,36.698,36.698,36.95074235,36.95074235,36.95074235,36.70262575,36.698,36.698,33.07540343,34.256,34.256,32.83968004,32.83968004,32.83968004,32.83968004,32.83968004,34.256,34.256,34.256,34.256,34.256,34.256,34.256,34.256
Episode 130,40.561,42.83203982,36.39455786,36.66240233,36.698,36.66240233,36.698,36.698,36.698,36.698,36.698,36.698,36.698,36.698,36.698,36.698,36.698,36.698,36.698,33.79204993,34.256,33.78510606,32.543,32.543,32.543,32.543,32.543,32.99804046,32.99804046,32.99804046,32.99804046,32.99804046,32.99804046,32.99804046,32.99804046,32.99804046
Episode 131,40.561,40.561,38.63,37.17063366,38.63,39.394,40.36964004,38.63,38.65038837,38.63,39.20545276,38.63,38.63,38.63,38.63,38.63,40.561,40.561,39.46328531,38.93373459,38.63,36.81679233,36.81679233,36.81679233,36.81679233,36.81679233,36.81679233,36.81679233,36.81679233,36.81679233,36.81679233,36.81679233,36.81679233,36.81679233,37.13178405,37.24717555
Episode 132,40.561,40.561,38.63,38.63,38.63,38.63,38.63,37.79370907,37.79370907,36.698,36.698,37.79370907,37.79370907,36.698,36.698,36.698,36.698,29.233,35.969,34.19484688,26.691,26.691,26.691,26.691,26.691,26.691,26.691,26.691,26.691,26.691,26.691,26.691,26.691,26.691,26.691,29.233
Episode 133,40.561,39.394,35.99478827,36.698,35.969,35.969,34.256,34.256,34.19484691,33.48366941,34.256,34.256,34.19484691,34.19484691,33.01357671,32.543,25.024,28.275,29.84325449,25.024,25.024,25.024,25.024,25.024,25.816,25.816,25.816,25.816,25.816,25.816,25.816,25.816,25.816,25.816,28.275,26.691
Episode 134,17.60673483,29.63,29.63,29.63,25.10683966,25.74400049,29.63,29.63,29.63,29.63,28.07610113,29.63,29.63,29.233,29.63,29.63,29.63,29.63,29.63,29.63,29.63,29.63,29.63,29.63,29.63,29.63,29.63,29.63,29.63,29.63,29.63,29.63,29.63,29.63,29.63,30.34952177
Episode 135,39.394,38.63,36.698,36.698,36.698,36.698,35.969,35.969,35.969,35.969,35.969,35.44504466,35.43712859,34.256,34.19484691,25.816,30.11134163,28.43765837,25.816,25.816,25.816,25.816,25.816,25.816,25.816,25.84269729,25.84269729,25.816,25.84269729,25.83314776,25.816,25.816,25.816,28.275,27.5037176,26.691
Episode 136,38.63,41.072,34.256,33.53514864,30.57244397,30.11134163,28.35465837,28.275,29.07903681,29.00315006,28.97072599,29.6756408,29.11868366,30.01964644,22.56813436,28.6890129,28.71495232,22.56813436,22.56813436,22.56813436,22.56813436,22.56813436,23.4132577,23.4132577,24.8847423,24.8847423,23.4132577,24.149,24.149,24.149,23.4132577,23.4132577,28.69363476,25.81895655,27.4267423,23.4132577
Episode 137,38.63,39.394,35.934,34.256,32.543,30.57244397,30.11135378,30.11135378,30.46694087,30.12381213,30.12381213,29.79594813,30.733,23.358,27.89396234,29.88303766,23.358,23.358,23.358,23.358,23.358,24.149,24.149,25.463,24.8847423,24.149,24.8847423,24.8847423,24.8847423,24.149,24.149,29.15,25.95955475,26.9612153,24.149,26.19422995
Episode 138,30,30,30,26.691,27.60992227,30,30,30,30,29.95678658,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30.12413459,30
Episode 139,28.842,28.842,21.40654302,24.28288951,27.93056747,28.842,28.64125237,28.842,26.88956373,28.842,28.842,28.842,28.842,28.842,28.842,28.842,28.842,28.842,28.842,28.842,28.842,28.842,28.842,28.842,28.842,28.842,28.842,28.842,28.842,28.842,28.842,28.842,28.842,30.33918347,28.842,28.842
Episode 140,30,17.5554186,22.92616671,27.35128372,30,30,30,28.36974042,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Episode 141,36.44096064,37.57118084,44.935,44.935,44.935,44.935,44.935,44.935,44.935,44.935,44.935,44.935,44.935,44.935,44.1651803,44.935,36.11938124,35.62689063,43.56410937,44.935,40.561,44.935,34.42244407,44.935,44.935,34.256,39.394,95.73199906,40.57494494,38.61605506,38.61605506,38.63,38.63,38.45454515,37.55398341,47.76296072
Episode 142,36.698,38.63,40.561,40.561,40.561,40.14656717,40.561,40.561,40.561,40.561,40.561,40.561,40.561,40.561,35.59116726,32.543,27.59865835,37.7016433,40.561,35.73245057,40.561,28.11176038,40.561,38.91407041,31.35238049,31.44740743,59.51328711,34.256,34.36385456,34.19564195,39.394,37.76602851,37.76602851,34.74078648,41.25979208,96.77677324
Episode 143,36.44096064,37.53345219,41.91458716,40.561,39.394,38.63,38.63,38.63,38.70038109,36.62761891,38.2099976,38.1119974,38.41887314,36.33932724,34.256,21.28668873,32.15631127,41.91458716,35.30235986,41.91458716,41.91458716,41.91458716,39.06366708,29.985086,34.256,53.62777774,35.969,34.256,31.814,36.698,35.27963802,35.27963802,34.256,38.39169858,53.62777774,53.62777774
