,block_ch_mc_1,block_ch_mc_2,block_ch_mc_3,block_ch_mc_4,block_ch_mc_5,block_ch_mc_6,block_ch_mc_7,block_ch_mc_8,block_ch_mc_9,block_ch_mc_10,block_ch_mc_11,block_ch_mc_12,block_ch_mc_13,block_ch_mc_14,block_ch_mc_15,block_ch_mc_16,block_ch_mc_17,block_ch_mc_18,block_ch_mc_19,block_ch_mc_20,block_ch_mc_21,block_ch_mc_22,block_ch_mc_23,block_ch_mc_24,block_ch_mc_25,block_ch_mc_26,block_ch_mc_27,block_ch_mc_28,block_ch_mc_29,block_ch_mc_30,block_ch_mc_31,block_ch_mc_32,block_ch_mc_33,block_ch_mc_34,block_ch_mc_35,block_ch_mc_36
Episode 23,11.18536658258748,10.926699755945396,10.901566814010264,10.8743394602472,10.84474451050474,10.812459110785696,10.777098911093407,10.73820269143189,10.695212132858634,10.647444845555016,10.59405787739215,10.533997538208924,10.465929153801271,10.298376207567046,10.298376207567046,10.298376207567046,10.298376207567046,10.298376207567046,10.298376207567046,10.298376207567046,10.298376207567046,10.298376207567046,10.298376207567046,10.298376207567046,10.298376207567046,10.298376207567046,10.298376207567046,10.298376207567046,10.298376207567046,10.298376207567046,10.298376207567046,10.298376207567046,10.298376207567046,10.298376207567046,10.298376207567046,10.298376207567046
Episode 24,885.7380801987108,885.7380801987108,885.7380801987108,885.7380801987108,885.7380801987108,885.7380801987108,885.7380801987108,885.7380801987108,885.7380801987108,885.7380801987108,885.7380801987108,885.7380801987108,885.7380801987108,885.7380801987108,885.7380801987108,885.7380801987108,885.7380801987108,885.7380801987108,885.7380801987108,885.7380801987108,885.7380801987108,885.7380801987108,885.7380801987108,885.7380801987108,885.7380801987108,885.7380801987108,885.7380801987108,885.7380801987108,885.7380801987108,885.7380801987108,885.7380801987108,885.7380801987108,885.7380801987108,885.7380801987108,885.7380801987108,885.7380801987108
Episode 25,1409.3583411255847,1409.3583411255847,1409.3583411255847,1409.3583411255847,1409.3583411255847,1409.3583411255847,1409.3583411255847,1409.3583411255847,1409.3583411255847,1409.3583411255847,1409.3583411255847,1409.3583411255847,1409.3583411255847,1409.3583411255847,1409.3583411255847,1409.3583411255847,1409.3583411255847,1409.3583411255847,1409.3583411255847,1409.3583411255847,1409.3583411255847,1409.3583411255847,1409.3583411255847,1409.3583411255847,1409.3583411255847,1409.3583411255847,1409.3583411255847,1409.3583411255847,1409.3583411255847,1409.3583411255847,1409.3583411255847,1409.3583411255847,1409.3583411255847,1409.3583411255847,1409.3583411255847,1409.3583411255847
Episode 26,971.644693017256,971.644693017256,971.644693017256,971.644693017256,971.644693017256,971.644693017256,971.644693017256,971.644693017256,971.644693017256,971.644693017256,971.644693017256,971.644693017256,971.644693017256,971.644693017256,971.644693017256,971.644693017256,971.644693017256,971.644693017256,971.644693017256,971.644693017256,971.644693017256,971.644693017256,971.644693017256,971.644693017256,971.644693017256,971.644693017256,971.644693017256,971.644693017256,971.644693017256,971.644693017256,971.644693017256,971.644693017256,971.644693017256,971.644693017256,971.644693017256,971.644693017256
Episode 27,1064.6939319551882,1064.6939319551882,1064.6939319551882,1064.6939319551882,1064.6939319551882,1064.6939319551882,1064.6939319551882,1064.6939319551882,1064.6939319551882,1064.6939319551882,1064.6939319551882,1064.6939319551882,1064.6939319551882,1064.6939319551882,1064.6939319551882,1064.6939319551882,1064.6939319551882,1064.6939319551882,1064.6939319551882,1064.6939319551882,1064.6939319551882,1064.6939319551882,1064.6939319551882,1064.6939319551882,1064.6939319551882,1064.6939319551882,1064.6939319551882,1064.6939319551882,1064.6939319551882,1064.6939319551882,1064.6939319551882,1064.6939319551882,1064.6939319551882,1064.6939319551882,1064.6939319551882,1064.6939319551882
Episode 28,2531.0358294594184,2531.0358294594184,2531.0358294594184,2531.0358294594184,2531.0358294594184,2531.0358294594184,2531.0358294594184,2531.0358294594184,2531.0358294594184,2531.0358294594184,2531.0358294594184,2531.0358294594184,2531.0358294594184,2531.0358294594184,2531.0358294594184,2531.0358294594184,2531.0358294594184,2531.0358294594184,2531.0358294594184,2531.0358294594184,2531.0358294594184,2531.0358294594184,2531.0358294594184,2531.0358294594184,2531.0358294594184,2531.0358294594184,2531.0358294594184,2531.0358294594184,2531.0358294594184,2531.0358294594184,2531.0358294594184,2531.0358294594184,2531.0358294594184,2531.0358294594184,2531.0358294594184,2531.0358294594184
Episode 29,1311.4659180679073,1311.4659180679073,1311.4659180679073,1311.4659180679073,1311.4659180679073,1311.4659180679073,1311.4659180679073,1311.4659180679073,1311.4659180679073,1311.4659180679073,1311.4659180679073,1311.4659180679073,1311.4659180679073,1311.4659180679073,1311.4659180679073,1311.4659180679073,1311.4659180679073,1311.4659180679073,1311.4659180679073,1311.4659180679073,1311.4659180679073,1311.4659180679073,1311.4659180679073,1311.4659180679073,1311.4659180679073,1311.4659180679073,1311.4659180679073,1311.4659180679073,1311.4659180679073,1311.4659180679073,1311.4659180679073,1311.4659180679073,1311.4659180679073,1311.4659180679073,1311.4659180679073,1311.4659180679073
Episode 30,7329.151841325352,7329.151841325352,7329.151841325352,7329.151841325352,7329.151841325352,7329.151841325352,7329.151841325352,7329.151841325352,7329.151841325352,7329.151841325352,7329.151841325352,7329.151841325352,7329.151841325352,7329.151841325352,7329.151841325352,7329.151841325352,7329.151841325352,7329.151841325352,7329.151841325352,7329.151841325352,7329.151841325352,7329.151841325352,7329.151841325352,7329.151841325352,7329.151841325352,7329.151841325352,7329.151841325352,7329.151841325352,7329.151841325352,7329.151841325352,7329.151841325352,7329.151841325352,7329.151841325352,7329.151841325352,7329.151841325352,7329.151841325352
Episode 31,779.578589971977,779.578589971977,779.578589971977,779.578589971977,779.578589971977,779.578589971977,779.578589971977,779.578589971977,779.578589971977,779.578589971977,779.578589971977,779.578589971977,779.578589971977,779.578589971977,779.578589971977,779.578589971977,779.578589971977,779.578589971977,779.578589971977,779.578589971977,779.578589971977,779.578589971977,779.578589971977,779.578589971977,779.578589971977,779.578589971977,779.578589971977,779.578589971977,779.578589971977,779.578589971977,779.578589971977,779.578589971977,779.578589971977,779.578589971977,779.578589971977,779.578589971977
Episode 32,1569.176108512615,1569.176108512615,1569.176108512615,1569.176108512615,1569.176108512615,1569.176108512615,1569.176108512615,1569.176108512615,1569.176108512615,1569.176108512615,1569.176108512615,1569.176108512615,1569.176108512615,1569.176108512615,1569.176108512615,1569.176108512615,1569.176108512615,1569.176108512615,1569.176108512615,1569.176108512615,1569.176108512615,1569.176108512615,1569.176108512615,1569.176108512615,1569.176108512615,1569.176108512615,1569.176108512615,1569.176108512615,1569.176108512615,1569.176108512615,1569.176108512615,1569.176108512615,1569.176108512615,1569.176108512615,1569.176108512615,1569.176108512615
Episode 33,880.8763016285388,880.8763016285388,880.8763016285388,880.8763016285388,880.8763016285388,880.8763016285388,880.8763016285388,880.8763016285388,880.8763016285388,880.8763016285388,880.8763016285388,880.8763016285388,880.8763016285388,880.8763016285388,880.8763016285388,880.8763016285388,880.8763016285388,880.8763016285388,880.8763016285388,880.8763016285388,880.8763016285388,880.8763016285388,880.8763016285388,880.8763016285388,880.8763016285388,880.8763016285388,880.8763016285388,880.8763016285388,880.8763016285388,880.8763016285388,880.8763016285388,880.8763016285388,880.8763016285388,880.8763016285388,880.8763016285388,880.8763016285388
Episode 34,132.6684480072535,132.436914939178,132.33942733156726,132.09570831254044,131.8519892935136,131.7165898384987,131.45933087397037,131.20207190944208,131.02047734624557,123.1211138471996,122.4231097449132,121.63203842898862,119.68478595902045,119.68478595902045,119.68478595902045,119.68478595902045,119.68478595902045,119.68478595902045,119.68478595902045,119.68478595902045,119.68478595902045,119.68478595902045,119.68478595902045,119.68478595902045,119.68478595902045,119.68478595902045,119.68478595902045,119.68478595902045,119.68478595902045,119.68478595902045,119.68478595902045,119.68478595902045,119.68478595902045,119.68478595902045,119.68478595902045,119.68478595902045
Episode 35,1491.8690030143923,1491.8690030143923,1491.8690030143923,1491.8690030143923,1491.8690030143923,1491.8690030143923,1491.8690030143923,1491.8690030143923,1491.8690030143923,1491.8690030143923,1491.8690030143923,1491.8690030143923,1491.8690030143923,1491.8690030143923,1491.8690030143923,1491.8690030143923,1491.8690030143923,1491.8690030143923,1491.8690030143923,1491.8690030143923,1491.8690030143923,1491.8690030143923,1491.8690030143923,1491.8690030143923,1491.8690030143923,1491.8690030143923,1491.8690030143923,1491.8690030143923,1491.8690030143923,1491.8690030143923,1491.8690030143923,1491.8690030143923,1491.8690030143923,1491.8690030143923,1491.8690030143923,1491.8690030143923
Episode 36,3244.7407004285733,3244.7407004285733,3244.7407004285733,3244.7407004285733,3244.7407004285733,3244.7407004285733,3244.7407004285733,3244.7407004285733,3244.7407004285733,3244.7407004285733,3244.7407004285733,3244.7407004285733,3244.7407004285733,3244.7407004285733,3244.7407004285733,3244.7407004285733,3244.7407004285733,3244.7407004285733,3244.7407004285733,3244.7407004285733,3244.7407004285733,3244.7407004285733,3244.7407004285733,3244.7407004285733,3244.7407004285733,3244.7407004285733,3244.7407004285733,3244.7407004285733,3244.7407004285733,3244.7407004285733,3244.7407004285733,3244.7407004285733,3244.7407004285733,3244.7407004285733,3244.7407004285733,3244.7407004285733
Episode 37,2474.9907595007107,2474.9907595007107,2474.9907595007107,2474.9907595007107,2474.9907595007107,2474.9907595007107,2474.9907595007107,2474.9907595007107,2474.9907595007107,2474.9907595007107,2474.9907595007107,2474.9907595007107,2474.9907595007107,2474.9907595007107,2474.9907595007107,2474.9907595007107,2474.9907595007107,2474.9907595007107,2474.9907595007107,2474.9907595007107,2474.9907595007107,2474.9907595007107,2474.9907595007107,2474.9907595007107,2474.9907595007107,2474.9907595007107,2474.9907595007107,2474.9907595007107,2474.9907595007107,2474.9907595007107,2474.9907595007107,2474.9907595007107,2474.9907595007107,2474.9907595007107,2474.9907595007107,2474.9907595007107
Episode 38,1232.7192634554067,1232.7192634554067,1232.7192634554067,1232.7192634554067,1232.7192634554067,1232.7192634554067,1232.7192634554067,1232.7192634554067,1232.7192634554067,1232.7192634554067,1232.7192634554067,1232.7192634554067,1232.7192634554067,1232.7192634554067,1232.7192634554067,1232.7192634554067,1232.7192634554067,1232.7192634554067,1232.7192634554067,1232.7192634554067,1232.7192634554067,1232.7192634554067,1232.7192634554067,1232.7192634554067,1232.7192634554067,1232.7192634554067,1232.7192634554067,1232.7192634554067,1232.7192634554067,1232.7192634554067,1232.7192634554067,1232.7192634554067,1232.7192634554067,1232.7192634554067,1232.7192634554067,1232.7192634554067
Episode 39,892.2177602795466,892.2177602795466,892.2177602795466,892.2177602795466,892.2177602795466,892.2177602795466,892.2177602795466,892.2177602795466,892.2177602795466,892.2177602795466,892.2177602795466,892.2177602795466,892.2177602795466,892.2177602795466,892.2177602795466,892.2177602795466,892.2177602795466,892.2177602795466,892.2177602795466,892.2177602795466,892.2177602795466,892.2177602795466,892.2177602795466,892.2177602795466,892.2177602795466,892.2177602795466,892.2177602795466,892.2177602795466,892.2177602795466,892.2177602795466,892.2177602795466,892.2177602795466,892.2177602795466,892.2177602795466,892.2177602795466,892.2177602795466
Episode 40,730.8484474628798,730.8484474628798,730.8484474628798,730.8484474628798,730.8484474628798,730.8484474628798,730.8484474628798,730.8484474628798,730.8484474628798,730.8484474628798,730.8484474628798,730.8484474628798,730.8484474628798,730.8484474628798,730.8484474628798,730.8484474628798,730.8484474628798,730.8484474628798,730.8484474628798,730.8484474628798,730.8484474628798,730.8484474628798,730.8484474628798,730.8484474628798,730.8484474628798,730.8484474628798,730.8484474628798,730.8484474628798,730.8484474628798,730.8484474628798,730.8484474628798,730.8484474628798,730.8484474628798,730.8484474628798,730.8484474628798,730.8484474628798
Episode 41,2152.5101317973977,2152.5101317973977,2152.5101317973977,2152.5101317973977,2152.5101317973977,2152.5101317973977,2152.5101317973977,2152.5101317973977,2152.5101317973977,2152.5101317973977,2152.5101317973977,2152.5101317973977,2152.5101317973977,2152.5101317973977,2152.5101317973977,2152.5101317973977,2152.5101317973977,2152.5101317973977,2152.5101317973977,2152.5101317973977,2152.5101317973977,2152.5101317973977,2152.5101317973977,2152.5101317973977,2152.5101317973977,2152.5101317973977,2152.5101317973977,2152.5101317973977,2152.5101317973977,2152.5101317973977,2152.5101317973977,2152.5101317973977,2152.5101317973977,2152.5101317973977,2152.5101317973977,2152.5101317973977
Episode 42,1428.051668859681,1428.051668859681,1428.051668859681,1428.051668859681,1428.051668859681,1428.051668859681,1428.051668859681,1428.051668859681,1428.051668859681,1428.051668859681,1428.051668859681,1428.051668859681,1428.051668859681,1428.051668859681,1428.051668859681,1428.051668859681,1428.051668859681,1428.051668859681,1428.051668859681,1428.051668859681,1428.051668859681,1428.051668859681,1428.051668859681,1428.051668859681,1428.051668859681,1428.051668859681,1428.051668859681,1428.051668859681,1428.051668859681,1428.051668859681,1428.051668859681,1428.051668859681,1428.051668859681,1428.051668859681,1428.051668859681,1428.051668859681
