,time_step 1,time_step 2,time_step 3,time_step 4,time_step 5,time_step 6,time_step 7,time_step 8,time_step 9,time_step 10,time_step 11,time_step 12,time_step 13,time_step 14,time_step 15,time_step 16,time_step 17,time_step 18,time_step 19,time_step 20,time_step 21,time_step 22,time_step 23,time_step 24,time_step 25,time_step 26,time_step 27,time_step 28,time_step 29,time_step 30,time_step 31,time_step 32,time_step 33,time_step 34,time_step 35,time_step 36
Episode 193,3089.281603,2810.542776,2714.675502,2662.264021,2621.128115,2581.255786,2568.314755,2542.804554,2524.596683,2501.106609,2479.732736,2490.045403,2470.860983,2474.484519,2468.843399,2442.839486,2419.550404,2422.354574,2402.243437,2396.677706,2393.640694,2391.130737,2375.322556,2379.06092,2373.899191,2357.51653,2353.758209,2339.758736,2329.64772,2309.940526,2316.12818,2303.880383,2320.294768,2317.745297,2305.203875,2303.452572
Episode 194,2361.086061,2841.054307,2996.913024,3098.85684,3146.588132,3197.816996,3252.590304,3307.235351,3380.331036,3411.413373,3396.429676,3437.38515,3421.036364,3435.772981,3472.847936,3464.194693,3425.376162,3358.067713,3387.7511,3379.165561,3342.993386,3302.866445,3294.924605,3237.956874,3236.862944,3264.122611,3211.900851,3129.142046,3106.606326,3057.683704,3016.613178,2988.984534,2950.754953,2919.358353,2935.382307,2941.24621
Episode 195,2332.391368,2623.9742,2721.272562,2766.901004,2805.836408,2843.092482,2878.421861,2923.159994,2943.321523,2936.486154,2961.272874,2952.760703,2961.896424,2980.820392,2973.138804,2947.806614,2905.76848,2919.995404,2911.910696,2887.694368,2861.100908,2853.217129,2816.687356,2812.723594,2825.300424,2788.838492,2734.489811,2715.313509,2680.685592,2650.628098,2628.418641,2599.990319,2575.548296,2578.866849,2576.234553,2572.324426
Episode 196,876.947753,278.411426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.913579,346.351048,61.867574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228.454343,964.883374
Episode 197,2330.76714,2714.216098,2826.922016,2900.300612,2961.414709,3015.639331,3079.336102,3110.647363,3106.452525,3141.726106,3133.81119,3148.072119,3176.688296,3170.779891,3141.816179,3090.982356,3112.86443,3105.737377,3077.565795,3046.196721,3039.066535,2994.605787,2992.463107,3011.834959,2969.177844,2903.149411,2882.929881,2842.527231,2808.054899,2783.80027,2751.406708,2724.198643,2733.239121,2734.50471,2734.097774,2734.269583
Episode 198,2329.142912,2589.322233,2674.423072,2731.349319,2776.96289,2825.786658,2851.355353,2851.713782,2877.946012,2874.231871,2885.222941,2903.594181,2898.051857,2876.417388,2839.483422,2852.632271,2845.654911,2824.02151,2800.083855,2792.888559,2759.732229,2755.908707,2767.013704,2733.07913,2682.844628,2664.44392,2631.972021,2603.604099,2582.333835,2555.37741,2532.019683,2533.922713,2530.403981,2525.716546,2521.430527,2497.00447
Episode 199,2327.518684,2686.033439,2811.132084,2894.792639,2973.290506,3017.348103,3025.3345,3065.835086,3065.265813,3083.579252,3113.81393,3111.390856,3086.793586,3041.06838,3063.19415,3057.807773,3032.300073,3003.505326,2997.470767,2955.862676,2954.294795,2973.128273,2932.545447,2869.557964,2850.150726,2811.410623,2778.262676,2754.826874,2723.560957,2697.214301,2705.555963,2706.446683,2705.72759,2705.556699,2675.554057,2669.512367
Episode 200,2325.894456,2604.936301,2704.4028,2779.298187,2822.567338,2835.694825,2870.395691,2873.435821,2889.607533,2912.432817,2910.351596,2891.180872,2855.696583,2871.364458,2866.057452,2845.334259,2821.981738,2815.860104,2782.554071,2779.70869,2792.403303,2758.22426,2706.866509,2688.772407,2655.86242,2627.19842,2605.943528,2578.673212,2555.151419,2558.196185,2555.529482,2551.625558,2548.138794,2523.091266,2516.413162,2522.821488
Episode 201,2324.270228,2470.690514,2526.718937,2557.211247,2568.947626,2589.062171,2592.488273,2601.721811,2610.396258,2606.262784,2593.233423,2571.702525,2576.029141,2569.600551,2555.222129,2539.420171,2532.374381,2511.359522,2505.914253,2508.423151,2483.820569,2450.358302,2433.963294,2409.931814,2388.065995,2369.99942,2348.824059,2329.56847,2323.995183,2315.477366,2306.319806,2297.375483,2280.058833,2272.213181,2271.118364,2243.031418
Episode 202,2322.646,2500.749586,2559.899784,2585.245721,2614.355568,2622.90784,2636.535641,2649.700811,2647.952966,2635.702889,2613.420418,2620.464482,2615.081794,2600.453639,2584.075999,2577.69682,2555.150461,2550.50923,2555.029527,2529.158308,2492.992899,2476.54221,2451.22502,2428.39254,2409.945588,2387.878599,2368.024578,2364.041426,2356.638699,2348.490503,2340.587476,2322.031674,2314.474933,2314.762768,2283.663448,2267.723514
